N,K,time
1000000,29,79.186569
1001000,33,81.817429
1002000,35,75.999771
1003000,37,75.816551
1004000,30,74.220520
1005000,37,75.993851
1006000,37,74.121223
1007000,29,77.831047
1008000,29,75.835419
1009000,35,78.513168
1010000,509,202.996109
1011000,297,77.359016
1012000,31,78.086998
1013000,29,78.249001
1014000,31,78.865723
1015000,32,79.577377
1016000,27,72.212601
1017000,36,75.136391
1018000,34,78.051193
1019000,40,75.967232
1020000,32,80.346664
1021000,40,75.989433
1022000,31,76.087639
1023000,32,74.805710
1024000,29,75.211479
1025000,35,74.281029
1026000,30,74.118103
1027000,31,77.044235
1028000,34,75.711082
1029000,36,79.591339
1030000,33,77.418884
1031000,40,81.063370
1032000,35,78.663399
1033000,34,79.250153
1034000,289,81.240959
1035000,39,74.700546
1036000,36,73.052658
1037000,35,100.003059
1038000,1056,133.187286
1039000,42,81.980179
1040000,1048,131.279617
1041000,307,82.721077
1042000,326,76.918602
1043000,306,77.592430
1044000,41,76.002571
1045000,39,77.834457
1046000,351,85.007126
1047000,33,81.557411
1048000,43,81.325073
1049000,43,82.659584
1050000,303,78.213676
1051000,34,77.472992
1052000,37,77.532410
1053000,32,76.612358
1054000,35,79.409431
1055000,321,88.742104
1056000,325,75.896744
1057000,86,80.679207
1058000,327,75.055092
1059000,1071,147.406235
1060000,330,77.361153
1061000,338,79.090378
1062000,329,84.021774
1063000,318,83.750526
1064000,320,77.066368
1065000,356,82.828156
1066000,336,79.028061
1067000,302,79.810791
1068000,295,86.271629
1069000,331,78.868675
1070000,330,81.583244
1071000,312,78.178871
1072000,324,74.439545
1073000,324,80.207420
1074000,343,76.664566
1075000,1291,105.532738
1076000,329,85.264366
1077000,44,80.664131
1078000,318,77.606071
1079000,36,81.790207
1080000,317,79.374649
1081000,308,76.961159
1082000,320,79.896790
1083000,328,74.430290
1084000,308,75.444496
1085000,52,81.352249
1086000,318,81.234467
1087000,335,83.281158
1088000,40,74.935280
1089000,343,80.865700
1090000,349,73.517914
1091000,322,87.442993
1092000,327,82.422295
1093000,347,84.909203
1094000,345,81.527588
1095000,331,280.422180
1096000,48,80.735100
1097000,31,78.173676
1098000,29,73.079155
1099000,38,74.265862
1100000,39,76.270164
1101000,38,81.622688
