s,k,time
1,5942,50.837540
101,16,263.811737
201,7,201.707611
301,4,931.344482
401,4,141.379776
501,4,104.954277
601,2,98.018486
701,2,97.813034
801,2,100.130447
901,10,115.602165
1001,1,123.855415
1101,7,105.224724
1201,5,115.500320
1301,10,108.515503
1401,10,105.092987
1501,7,105.656982
1601,0,95.089310
1701,8,96.997124
1801,0,84.697823
1901,0,86.504677
2001,0,97.733330
2101,2,99.190987
2201,0,98.748558
2301,0,98.103058
2401,0,115.511154
2501,1,93.760719
2601,0,131.646103
2701,0,123.856735
2801,0,97.667557
2901,0,98.846970
3001,0,92.691589
3101,0,86.154251
3201,0,87.975281
3301,0,88.330070
3401,0,104.929398
3501,0,102.838799
3601,0,89.421379
3701,0,89.059235
3801,0,86.700798
3901,0,86.153648
4001,0,90.148262
4101,0,81.434731
4201,0,94.143456
4301,0,90.146294
4401,0,83.257629
4501,0,83.976738
4601,0,86.973999
4701,0,80.709908
4801,0,80.533272
4901,0,82.165695
5001,0,87.346985
5101,0,86.157829
5201,0,90.428436
5301,0,87.615425
5401,0,76.177902
5501,0,108.312569
5601,0,89.340202
5701,0,81.440544
5801,0,82.895050
5901,0,89.068657
6001,0,86.527161
6101,0,82.529060
6201,0,91.977165
6301,0,88.344254
6401,2,84.805679
6501,0,76.721298
6601,0,88.982689
6701,0,79.625847
6801,0,88.528412
6901,0,78.174637
7001,0,110.142754
7101,0,74.177513
7201,0,86.897636
7301,0,74.906036
7401,0,78.903305
7501,0,73.453583
7601,0,80.448647
7701,0,81.443901
7801,0,81.721581
7901,0,80.354500
8001,0,87.264099
8101,0,74.904152
8201,0,86.169327
8301,0,78.904510
8401,0,93.254517
8501,0,90.892418
8601,0,112.785149
8701,0,93.070847
8801,0,94.986992
8901,0,78.537323
9001,0,87.990402
9101,0,85.807106
9201,0,79.993927
9301,0,73.815422
9401,0,88.897926
9501,0,77.085541
9601,0,77.904793
9701,0,90.894897
9801,0,87.624763
9901,0,83.989494
10001,0,87.082916
10101,1,79.993614
10201,0,76.267365
10301,0,118.149292
10401,0,120.790596
10501,0,75.631073
10601,0,99.078438
10701,0,77.811043
10801,0,104.710915
10901,0,86.532890
11001,0,110.890167
11101,1,78.902245
11201,0,81.083794
11301,0,74.178436
11401,0,87.352737
11501,0,82.538773
11601,0,90.534660
11701,0,80.355797
11801,0,89.261162
11901,0,82.173538
12001,0,82.083435
12101,0,82.900528
12201,0,85.447998
12301,0,85.445244
12401,0,96.894188
12501,0,87.261894
12601,0,78.268623
12701,0,86.535164
12801,0,88.080643
12901,0,77.086342
13001,0,88.535553
13101,0,86.535347
13201,0,84.810013
13301,0,79.993690
13401,0,96.623871
13501,0,87.989182
13601,0,92.807083
13701,0,71.997444
13801,0,84.447845
13901,0,86.172585
14001,0,94.262985
14101,0,87.626541
14201,0,93.080399
14301,0,78.903633
14401,0,81.266754
14501,0,84.356178
14601,0,88.899292
14701,0,91.261345
14801,0,80.721619
14901,0,89.081902
15001,0,81.267784
15101,0,86.173119
15201,1,109.534813
15301,0,94.170464
15401,0,84.993904
15501,0,87.629494
15601,0,85.630768
15701,0,79.996422
15801,0,87.720360
15901,0,81.448799
16001,0,81.995186
16101,0,89.445198
16201,0,77.541626
16301,0,85.447639
16401,0,79.814568
16501,0,86.538666
16601,0,106.806953
16701,0,98.533569
16801,0,90.450752
16901,0,87.992325
17001,0,87.448036
17101,0,80.722046
17201,0,85.538979
17301,0,89.083099
17401,0,86.266029
17501,0,88.720184
17601,0,86.811249
17701,0,68.726677
17801,0,80.268448
17901,0,79.268738
18001,0,80.905037
18101,0,82.176704
18201,0,70.362755
18301,0,89.446655
18401,0,85.903633
18501,0,88.719543
18601,0,80.177643
18701,0,87.629158
18801,0,80.814384
18901,0,90.173882
19001,0,81.633698
19101,0,79.268410
19201,0,86.358101
19301,0,81.086212
19401,0,79.815193
19501,0,109.077324
19601,0,76.997139
19701,0,84.357986
19801,0,84.813690
19901,0,78.541740
20001,0,85.722931
20101,0,73.815704
20201,0,77.633842
20301,0,81.087532
20401,0,104.625481
20501,0,85.449020
20601,0,86.268402
20701,0,79.268867
20801,0,81.541428
20901,0,82.905807
21001,0,90.630058
21101,0,80.723183
21201,0,87.449310
21301,0,82.541031
21401,0,82.723885
21501,0,79.996506
21601,0,86.449608
21701,0,77.088028
21801,0,87.631790
21901,0,81.813858
22001,0,82.905281
22101,0,83.268547
22201,0,101.265205
22301,0,74.179749
22401,0,91.448570
22501,0,83.632294
22601,0,79.633873
22701,0,79.996460
22801,0,84.724075
22901,0,89.085869
23001,0,98.812080
23101,0,72.725616
23201,0,82.451805
23301,0,87.630882
23401,0,79.906883
23501,0,75.997444
23601,0,80.270409
23701,0,75.270821
23801,0,80.633980
23901,0,82.177788
24001,1,73.824646
24101,0,83.632393
24201,0,84.633774
24301,0,78.542526
24401,0,80.633514
24501,0,81.450836
24601,0,93.267036
24701,0,77.088142
24801,0,82.905457
24901,0,84.722809
25001,0,92.903275
25101,0,76.725464
25201,0,80.451973
25301,1,85.451080
25401,1,82.453865
25501,0,82.905876
25601,0,86.542595
25701,0,104.354713
25801,0,87.632805
25901,0,82.541862
26001,0,81.724663
26101,0,78.907021
26201,0,82.814766
26301,0,83.268845
26401,0,72.635544
26501,0,78.179207
26601,0,89.904472
26701,0,91.994743
26801,0,82.088020
26901,0,70.544388
27001,0,86.541962
27101,0,77.088707
27201,0,90.540741
27301,0,81.814651
27401,0,90.904556
27501,0,72.362274
27601,0,89.722481
27701,0,77.088402
27801,0,92.358498
27901,0,81.814766
28001,0,101.538567
28101,0,71.271843
28201,0,122.079704
28301,0,75.634491
28401,0,81.179169
28501,0,80.360718
28601,0,72.271851
28701,0,84.723579
28801,0,79.634476
28901,0,91.267593
29001,0,82.633736
29101,0,77.815674
29201,0,86.724091
29301,0,81.814941
29401,0,82.361092
29501,0,83.269485
29601,0,82.543060
29701,0,84.360107
29801,0,94.631371
29901,0,76.725807
30001,0,101.085213
30101,0,78.179428
30201,0,78.361786
30301,0,85.815445
30401,0,84.270599
30501,0,76.361595
30601,0,77.725853
30701,0,77.452354
30801,0,78.725601
30901,0,78.179512
31001,0,107.266045
31101,0,82.906502
31201,0,81.270615
31301,1,73.472946
31401,0,98.087883
31501,0,81.452019
31601,0,80.906662
31701,0,83.996780
31801,0,85.633499
31901,0,77.452797
32001,0,99.633003
32101,0,83.633514
32201,0,88.451836
32301,0,81.451912
32401,1,90.634766
32501,0,75.998352
32601,0,106.359810
32701,0,76.361832
32801,0,108.723419
32901,1,82.908051
33001,0,80.725899
33101,0,73.817169
33201,0,98.360970
33301,1,71.636108
33401,0,81.725502
33501,0,83.633736
33601,0,104.450592
33701,0,81.815659
33801,0,96.906586
33901,0,71.999321
34001,0,70.454857
34101,0,83.270340
34201,0,101.541603
34301,0,82.906456
34401,0,86.635040
34501,0,100.723000
34601,0,77.089424
34701,1,81.470085
34801,0,82.088692
34901,0,80.726089
35001,0,84.088837
35101,0,79.997795
35201,0,91.814560
35301,0,84.724533
35401,0,95.269318
35501,0,82.906395
35601,0,80.088921
35701,0,85.815430
35801,1,3749.066650
35901,0,80.361191
36001,0,80.907700
36101,0,84.360870
36201,0,99.177368
36301,0,79.997734
36401,0,84.542969
36501,0,76.361908
36601,0,83.906960
36701,0,77.816544
36801,0,87.180267
36901,0,84.361084
37001,0,85.179955
37101,0,82.543755
37201,0,117.176521
37301,0,70.544968
37401,0,90.633354
37501,0,84.724991
37601,0,99.815552
37701,0,85.451546
37801,0,81.089676
37901,0,79.634636
38001,0,84.815697
38101,0,82.543427
38201,0,94.359871
38301,0,89.087471
38401,0,103.177292
38501,0,81.088699
38601,0,119.084152
38701,0,82.907143
38801,0,74.272408
38901,0,76.725960
39001,0,85.998039
39101,0,82.179848
39201,0,78.999214
39301,0,83.633537
39401,0,84.089043
39501,0,83.997528
39601,0,81.089424
39701,0,79.998123
39801,0,78.998741
39901,0,83.997612
40001,0,72.454231
40101,0,82.906883
40201,0,81.362068
40301,0,86.179161
